STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_bt,Business trend indicator,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2009-11,,72.6,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2009-12,,83.5,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-01,,63.9,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-02,,62.2,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-03,,72.6,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-04,,71.5,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-05,,71.8,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-06,,69.8,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-07,,72.2,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-08,,69.8,,p,provisional,,
